regionName,exports,exportsm3,imports,importsm3,mining.value,net.exports,net.imports,npc.bounties,total.destroyed,total.production,trade.value
Cloud Ring,8.32634E+11,933003628.7,7.84192E+11,733299918.5,85125499900,48442371253,0,1.48275E+11,3.10973E+11,72890142558,29209986859
Tenal,5.63101E+11,723971349.2,6.50126E+11,1037148584,5.19561E+11,0,87025469558,1.42818E+12,1.57996E+11,1.74532E+11,31359548823
Paragon Soul,4.65539E+11,1002647673,5.48773E+11,1037583279,3.8293E+11,0,83234000586,5.44766E+11,1.76835E+11,4.22131E+11,61588835451
Venal,1.87344E+12,1351260622,2.09601E+12,1394048656,2.71584E+11,0,2.22578E+11,2.19702E+11,4.04304E+11,1.11203E+11,72197383365
Etherium Reach,2.17069E+12,2137306991,2.30712E+12,1760324974,2.81466E+11,0,1.36436E+11,6.08711E+11,6.0625E+11,4.4323E+11,96626362967
Great Wildlands,2.66249E+12,2398208893,2.12487E+12,2367043671,2.66826E+11,5.37619E+11,0,39520738519,4.13542E+11,5.17323E+11,1.11818E+11
Period Basis,3.89115E+11,500242718.1,4.58174E+11,455396532.9,1.05103E+11,0,69058590485,2.18484E+12,2.74029E+11,4.11666E+11,1.1187E+11
Providence,6.78444E+11,698419384.6,5.72156E+11,625178337.4,40006514257,1.06288E+11,0,1.38869E+11,3.93147E+11,6.7276E+11,1.13083E+11
Cache,2.20968E+12,717515520.2,1.58E+12,609023132.6,1.90033E+11,6.29677E+11,0,4.87185E+11,1.37891E+11,5.66897E+11,1.30251E+11
Omist,3.09645E+11,590943230.9,4.91553E+11,510195808.5,2.73059E+11,0,1.81908E+11,7.71335E+11,1.03641E+11,1.02363E+12,1.37354E+11
Tenerifis,1.15577E+12,1791521781,1.20374E+12,1925626069,2.63313E+11,0,47967750992,8.54468E+11,7.16426E+11,6.55278E+11,1.38845E+11
Oasa,1.52443E+12,2396797495,2.19891E+12,2600292080,1.1817E+11,0,6.74473E+11,8.53059E+11,4.81062E+11,5.02957E+11,1.66668E+11
The Spire,7.10793E+12,11163190095,8.11646E+12,12100132154,1.89571E+11,0,1.00853E+12,7.92198E+11,2.3695E+11,3.33486E+11,1.86916E+11
Scalding Pass,2.48792E+12,4163505652,4.90202E+12,6737189803,2.40487E+11,0,2.4141E+12,5.08327E+11,4.69005E+11,2.60584E+11,2.04002E+11
The Bleak Lands,2.60817E+12,1896764535,2.56529E+12,1918902530,2.07552E+11,42881081254,0,13937863048,5.67096E+11,6.19061E+11,2.37215E+11
The Kalevala Expanse,1.37141E+12,1985336493,2.78198E+12,2207553598,5.44325E+11,0,1.41057E+12,1.21189E+12,2.73801E+11,2.33309E+12,2.56517E+11
Querious,9.34543E+12,12275658334,8.84613E+12,11723524828,2.5967E+12,4.99301E+11,0,2.85511E+12,4.66419E+11,3.11875E+12,2.66264E+11
Wicked Creek,1.93752E+12,1864526321,1.84668E+12,1247429729,1.25949E+11,90842205558,0,6.26327E+11,3.04904E+11,1.86813E+12,2.71952E+11
Immensea,1.52044E+12,2544610720,1.75788E+12,1421432791,2.89095E+11,0,2.37439E+11,6.75425E+11,6.84952E+11,9.40018E+11,2.87577E+11
Feythabolis,1.03882E+12,894141414.9,1.14371E+12,979873764,3.32101E+11,0,1.04896E+11,1.32773E+12,2.34179E+11,7.54276E+11,3.41257E+11
Stain,1.70944E+12,797020925.5,1.41833E+12,616260521.9,4.42431E+11,2.91104E+11,0,1.42369E+11,5.98066E+11,7.12967E+11,3.59969E+11
Perrigen Falls,2.39102E+12,3194177685,2.01507E+12,2538611033,2.34589E+11,3.75957E+11,0,7.51073E+11,8.42448E+11,5.48912E+11,3.82454E+11
Tribute,2.57424E+12,2341582211,2.4485E+12,1779409141,8.27604E+11,1.25745E+11,0,9.56998E+11,3.82973E+11,8.6449E+12,4.18993E+11
Syndicate,7.03248E+11,1274521150,9.88507E+11,1379239620,4.22526E+11,0,2.85259E+11,85968557631,4.82503E+11,1.23355E+12,4.95085E+11
Solitude,4.61725E+11,482056047.4,7.03246E+11,535632177.4,3.81245E+11,0,2.41522E+11,31411388747,1.12902E+11,2.39006E+11,5.06671E+11
Detorid,1.38182E+12,2263021812,2.23018E+12,3033055156,7.83056E+11,0,8.48357E+11,2.34792E+12,4.99192E+11,2.30419E+12,5.27602E+11
Outer Ring,2.30161E+11,314080644.9,2.56656E+11,441773783.1,1.84375E+11,0,26495098769,36216551689,77015776076,90415107028,5.56163E+11
Pure Blind,2.42175E+12,3017199271,2.48093E+12,3638766787,2.28448E+11,0,59181300972,6.7998E+11,8.93801E+11,5.02484E+11,5.718E+11
Molden Heath,2.21383E+12,1920350107,2.05695E+12,1870411719,3.56509E+11,1.56879E+11,0,75188078721,3.04229E+11,2.66273E+11,5.75822E+11
Devoid,5.6266E+12,4780497916,4.84378E+12,4505817693,4.08342E+11,7.82817E+11,0,47261303587,3.54316E+11,7.41715E+11,7.07072E+11
Curse,5.99404E+12,5300327598,3.80106E+12,3880792392,31931457791,2.19299E+12,0,1.00135E+11,5.48518E+11,3.61657E+11,7.07489E+11
Malpais,3.91715E+12,2178778735,1.18985E+12,985890848.7,7.07602E+11,2.7273E+12,0,1.64667E+12,5.96143E+11,2.64758E+12,7.20217E+11
Outer Passage,7.9362E+12,9184259194,5.19418E+12,10125007895,7.96968E+11,2.74202E+12,0,2.33465E+12,4.3043E+11,1.86462E+12,7.20371E+11
Branch,8.58694E+11,1231244955,1.18779E+12,1093794296,9.80059E+11,0,3.29094E+11,3.79445E+12,4.97433E+11,1.99509E+12,7.58246E+11
Khanid,7.21396E+12,5313294214,7.86269E+12,5233227177,3.41963E+11,0,6.48724E+11,41064118102,2.90094E+11,2.77298E+11,7.6439E+11
Vale of the Silent,5.02039E+12,1398739037,4.02401E+12,1686405626,8.40578E+11,9.96386E+11,0,2.6212E+12,8.25769E+11,6.82419E+12,8.36678E+11
Black Rise,2.52603E+12,3393852815,2.92373E+12,3903688953,1.72087E+11,0,3.97701E+11,82421944824,1.69152E+12,1.02704E+12,8.40931E+11
Fountain,1.15648E+12,2330755981,1.39498E+12,2270167541,1.54016E+12,0,2.38502E+11,3.15088E+12,9.63553E+11,2.02737E+12,8.60607E+11
Impass,1.54286E+12,1361473333,1.57685E+12,1391150323,8.97283E+11,0,33992045358,1.05317E+12,2.92393E+11,1.98782E+12,8.65417E+11
Aridia,1.35237E+12,611437483.5,1.31325E+12,701821306.9,1.44982E+11,39110609953,0,50804952478,3.59933E+11,2.82118E+11,9.07542E+11
Cobalt Edge,1.4418E+12,1801805472,1.40528E+12,917672455.8,5.93485E+11,36521611367,0,1.64309E+12,6.47746E+11,2.74931E+12,1.08254E+12
Deklein,3.04919E+12,3690739349,2.51597E+12,3243944224,4.55393E+11,5.33216E+11,0,1.74458E+12,1.14502E+12,6.07089E+12,1.11344E+12
Derelik,5.631E+12,4443308308,6.3638E+12,4786363029,5.47225E+11,0,7.32799E+11,53175280671,4.72219E+11,6.67137E+11,1.12665E+12
Kador,5.57413E+12,5559934248,5.53274E+12,5817148272,6.20671E+11,41393287409,0,1.72628E+11,2.29868E+11,9.57421E+11,1.12997E+12
Insmother,3.17919E+12,4634110213,3.9208E+12,4771054379,6.30766E+11,0,7.41609E+11,1.2922E+12,7.73217E+11,9.03807E+11,1.35116E+12
Kor-Azor,8.15219E+12,5721036346,8.70815E+12,5474519487,3.02725E+11,0,5.55965E+11,1.06452E+11,2.18445E+11,6.63711E+11,1.58706E+12
Placid,1.65412E+12,2470033340,1.8265E+12,2487108225,2.18607E+11,0,1.72383E+11,58374914741,8.51793E+11,6.8317E+11,1.82079E+12
Genesis,4.78925E+12,6328950587,4.81071E+12,6311638115,6.60238E+11,0,21465180569,2.59024E+11,5.35882E+11,8.5733E+11,1.90325E+12
Fade,2.39644E+12,3443583657,2.64673E+12,3125783054,1.04403E+11,0,2.50287E+11,3.01949E+11,6.85311E+11,2.9815E+11,2.2416E+12
Everyshore,2.61002E+12,4238518529,2.18871E+12,4049805695,1.31917E+12,4.21308E+11,0,1.09248E+11,2.63138E+11,8.89815E+11,2.4377E+12
Verge Vendor,2.28384E+12,2712649592,1.96507E+12,2684933492,2.79059E+11,3.18768E+11,0,88342841177,2.21657E+11,6.49518E+11,2.6983E+12
Catch,5.23398E+12,5334504459,5.1221E+12,5078054781,6.29003E+11,1.11882E+11,0,9.055E+11,1.0126E+12,2.42487E+12,2.87036E+12
Tash-Murkon,4.84868E+12,4438372647,2.80056E+12,4668438165,7.93843E+11,2.04812E+12,0,1.87886E+11,3.49345E+11,2.51935E+12,3.14347E+12
The Citadel,2.35283E+13,26831446328,2.20996E+13,27383586570,6.1841E+11,1.42873E+12,0,6.65369E+11,2.19433E+12,1.24027E+13,3.87453E+12
Essence,8.72109E+12,10590876108,7.9064E+12,10408491445,7.44282E+11,8.14691E+11,0,1.07205E+11,5.56619E+11,1.70954E+12,4.73895E+12
Geminate,1.4836E+12,1822158227,2.88437E+12,2524661812,3.38533E+11,0,1.40077E+12,1.52069E+12,2.11675E+12,3.227E+12,5.58104E+12
Esoteria,8.55371E+11,1545576103,2.20243E+12,1304176070,3.3706E+12,0,1.34706E+12,3.74983E+12,4.72129E+11,9.48092E+12,5.888E+12
Lonetrek,1.47788E+13,16745796233,1.41952E+13,16762025353,1.10731E+12,5.83598E+11,0,7.29851E+11,1.30433E+12,1.36647E+13,1.11225E+13
Heimatar,6.68786E+12,6554599549,5.80673E+12,6510020629,5.45292E+11,8.81131E+11,0,1.59259E+11,8.23177E+11,3.16952E+12,1.12213E+13
Metropolis,8.94783E+12,9785430217,1.06017E+13,9483490868,1.30652E+12,0,1.65384E+12,8.17975E+11,1.50969E+12,3.03201E+12,1.14703E+13
Sinq Laison,1.72283E+13,16834090511,1.69413E+13,16612046329,1.31693E+12,2.86968E+11,0,3.18184E+11,1.39153E+12,5.15296E+12,2.34877E+13
Delve,7.41254E+12,11755844318,9.52104E+12,12321980140,1.45694E+13,0,2.1085E+12,1.17367E+13,1.72033E+12,4.33246E+13,4.63178E+13
Domain,2.00559E+13,20806651291,2.24919E+13,20636595262,1.66234E+12,0,2.43594E+12,3.05272E+11,1.66467E+12,6.65206E+12,6.88146E+13
The Forge,2.79756E+13,26422277630,2.83559E+13,26822651983,1.58271E+12,0,3.80269E+11,5.36988E+11,3.49992E+12,3.27585E+13,6.73347E+14
