regionName,exports,exportsm3,imports,importsm3,mining.value,net.exports,net.imports,npc.bounties,total.destroyed,total.production,trade.value
Tenal,9.76045E+11,740563533.7,1.06391E+12,1056473738,7.9403E+11,0,87866531159,1.72314E+12,2.77496E+11,1.52711E+11,9213817541
Scalding Pass,1.00691E+12,663821381.5,1.11423E+12,722506900.7,4.6942E+11,0,1.07321E+11,8.22817E+11,2.46866E+11,4.47903E+11,18836906916
The Kalevala Expanse,4.58055E+12,492755500.3,6.73295E+11,696794817.6,6.04625E+11,3.90726E+12,0,9.37367E+11,1.62795E+11,2.46332E+12,29836505708
Oasa,7.49709E+11,1038096554,9.42853E+11,1359701020,8.96543E+11,0,1.93144E+11,1.2999E+12,1.78723E+11,1.37314E+12,31029784141
Period Basis,65074730193,18674502.43,77140445660,32135779.35,87994112542,0,12065715467,2.77736E+12,1.50184E+11,1.26635E+11,36287100364
Outer Passage,4.13098E+11,431720217.6,2.41368E+11,383432847.6,3.89949E+11,1.7173E+11,0,1.54553E+12,2.21318E+11,4.35448E+11,36541693912
Paragon Soul,1.98799E+12,496031669.4,3.56382E+11,636290744.7,3.97821E+11,1.63161E+12,0,7.14224E+11,1.44684E+11,4.42789E+11,50022920752
Vale of the Silent,1.35156E+12,1728597548,9.76906E+11,1426291559,4.50601E+11,3.74656E+11,0,2.44705E+12,3.38892E+11,3.72675E+12,50116982235
Feythabolis,7.49925E+11,2472633667,2.54165E+12,2566568231,2.70591E+11,0,1.79173E+12,8.03027E+11,3.38854E+11,3.55288E+11,54336038836
Etherium Reach,3.86004E+12,1152480048,2.71816E+12,1242329693,3.48123E+11,1.14187E+12,0,2.70164E+11,6.13343E+11,2.48369E+11,56104783980
The Bleak Lands,1.73753E+12,1801822595,1.76768E+12,1876498874,1.7355E+11,0,30146189475,11764162287,5.69692E+11,1.37064E+11,1.12616E+11
Venal,1.54399E+12,1772351222,1.3771E+12,1586791871,1.47831E+11,1.66894E+11,0,2.55768E+11,4.74758E+11,1.11541E+11,1.16211E+11
Perrigen Falls,1.44735E+12,1819670530,1.10112E+12,1177582686,3.09146E+11,3.46229E+11,0,1.57277E+12,3.72309E+11,5.42339E+11,1.175E+11
The Spire,1.76368E+12,391716323.7,1.78666E+12,396814965.6,3.3696E+11,0,22976490519,1.38758E+12,1.86564E+11,3.78726E+11,1.2269E+11
Great Wildlands,4.35385E+12,1799642146,4.77048E+12,2323047883,2.80684E+11,0,4.16626E+11,31999631042,5.94117E+11,3.7E+11,1.25603E+11
Omist,1.90017E+11,209592937.4,1.06682E+11,158023899.7,85459173331,83335413868,0,2.37116E+11,2.31282E+11,2.30906E+11,1.27496E+11
Stain,4.17345E+11,359659788.2,4.58428E+11,377626284.8,3.26393E+11,0,41082681011,1.37768E+11,3.24643E+11,3.88578E+11,1.87595E+11
Querious,4.73814E+12,5795941198,6.37961E+12,5361596725,2.28811E+12,0,1.64147E+12,2.37525E+12,4.89445E+11,2.32073E+12,2.17876E+11
Cache,1.21594E+12,1547602251,1.69407E+12,671514440.6,1.63189E+11,0,4.7813E+11,3.76409E+11,4.2894E+11,8.75477E+11,2.34332E+11
Pure Blind,2.19854E+12,2784371460,1.82927E+12,3148249159,1.80438E+11,3.69273E+11,0,3.36328E+11,1.01935E+13,1.12995E+12,2.84569E+11
Insmother,4.44966E+12,3457696774,5.45893E+12,9778702826,1.51654E+12,0,1.00926E+12,2.3303E+12,3.46015E+11,1.56623E+12,2.84658E+11
Wicked Creek,3.53289E+12,7357829461,4.08119E+12,7873126466,3.57806E+11,0,5.48296E+11,1.23848E+12,2.99824E+11,2.42267E+12,3.07948E+11
Tribute,2.97522E+12,3758349415,3.0486E+12,2760088996,3.89979E+11,0,73386937393,7.23051E+11,3.06826E+11,6.12005E+12,3.51551E+11
Solitude,5.73099E+11,535996766.1,5.22443E+11,516881036.9,3.00878E+11,50655708589,0,24315229650,1.08563E+11,2.31245E+11,3.63441E+11
Immensea,3.92738E+12,9325851008,2.30814E+12,3544867731,4.20698E+11,1.61924E+12,0,8.63715E+11,2.26885E+11,9.44867E+11,3.67356E+11
Deklein,7.41077E+11,1250110932,1.90426E+12,1015451438,1.76132E+11,0,1.16319E+12,7.82173E+11,3.59741E+11,2.75565E+12,4.00284E+11
Curse,2.04252E+12,1482141874,2.29424E+12,2442331871,65446997662,0,2.51721E+11,72204486706,3.25775E+11,2.02664E+11,4.17702E+11
Syndicate,7.65724E+11,1039336357,7.97133E+11,1008421976,3.14226E+11,0,31408878502,72276883697,6.65083E+11,6.05494E+11,4.40195E+11
Impass,1.05584E+12,1048233145,1.27492E+12,1372702054,3.87847E+11,0,2.19082E+11,2.8513E+11,2.70862E+11,1.01903E+12,4.61977E+11
Khanid,1.74762E+13,3847962606,7.50075E+12,3923206781,3.64554E+11,9.97543E+12,0,33455771085,2.32011E+11,2.80194E+11,4.84278E+11
Outer Ring,2.03103E+11,218337997.5,1.57187E+11,171661788.5,2.06605E+11,45916023137,0,22782980055,1.21285E+11,37517558026,5.22775E+11
Fountain,3.41553E+12,1304747638,3.88435E+12,1475093432,1.33783E+12,0,4.68821E+11,2.83168E+12,9.37854E+11,2.34912E+12,6.18716E+11
Providence,5.79117E+11,857795735.5,7.60324E+11,780084583.9,3.88119E+11,0,1.81207E+11,6.80919E+11,4.76051E+11,1.50184E+12,6.35185E+11
Molden Heath,3.56879E+12,1855531963,1.72826E+12,1690054321,4.24606E+11,1.84054E+12,0,59723234748,4.8045E+11,2.8555E+11,6.75335E+11
Cobalt Edge,4.35596E+11,213807274.4,5.97265E+11,736317501.2,9.98033E+11,0,1.6167E+11,2.18427E+12,3.37914E+11,1.98211E+12,6.98926E+11
Devoid,3.1602E+12,3852560957,8.50202E+12,3591858559,3.55874E+11,0,5.34182E+12,36483301202,2.85127E+11,5.61106E+11,7.49209E+11
Aridia,1.41911E+12,580825200.1,1.61276E+12,586525335.6,2.25712E+11,0,1.93653E+11,49153108076,2.8672E+11,3.12581E+11,8.54815E+11
