regionName,exports,exportsm3,imports,importsm3,mining.value,net.exports,net.imports,npc.bounties,total.destroyed,total.production,trade.value
Paragon Soul,6.03101E+12,6576439875,8.94318E+12,7438995878,78447367625,0,2.91217E+12,1.84003E+11,84342349313,65504261303,12620351846
Tenal,2.75486E+13,24240337043,2.74344E+13,23223710019,8.60282E+11,1.14113E+11,0,1.92059E+12,2.21518E+11,2.40475E+11,36400969396
Scalding Pass,2.94186E+13,28628783791,3.25699E+13,29462015108,3.67469E+11,0,3.15125E+12,6.39227E+11,2.73847E+11,2.69578E+11,61977381617
Cloud Ring,3.67827E+13,47535330464,3.85549E+13,51177671111,1.497E+11,0,1.77226E+12,1.72472E+11,6.06157E+11,55014564950,70857559256
Venal,7.78916E+13,69073682648,7.62547E+13,66516908937,2.83683E+11,1.63694E+12,0,1.93022E+11,3.12485E+11,85582809277,77542432209
Great Wildlands,6.71263E+13,60021008710,7.11306E+13,62880286556,3.06935E+11,0,4.00424E+12,38817201534,6.04357E+11,2.67543E+11,87882804068
Vale of the Silent,9.38973E+13,76091977741,8.39696E+13,71566927533,8.36798E+11,9.9277E+12,0,2.44296E+12,4.10821E+11,3.0262E+12,91515838211
The Spire,6.72625E+13,60909918391,5.24261E+13,52264723251,2.38813E+11,1.48364E+13,0,8.8953E+11,4.23039E+11,2.56089E+11,95763256941
Etherium Reach,1.05486E+14,64371127406,1.03336E+14,66172736874,4.69348E+11,2.14996E+12,0,7.80916E+11,5.92077E+11,6.88384E+11,1.00557E+11
Period Basis,9.45005E+12,6227953401,5.85871E+12,4475661112,2.05347E+11,3.59134E+12,0,1.97402E+12,1.50931E+11,4.29224E+11,1.3466E+11
Tenerifis,2.3388E+13,15640779970,1.9683E+13,15400146904,1.91858E+11,3.70505E+12,0,3.11503E+11,2.78517E+11,1.81489E+11,1.43846E+11
The Bleak Lands,6.45579E+13,49328087717,5.52129E+13,48460001513,1.04454E+11,9.34493E+12,0,21570500902,6.84026E+11,3.45944E+11,1.85638E+11
The Kalevala Expanse,6.90216E+13,42103177465,7.39908E+13,42476709328,1.46207E+12,0,4.96921E+12,1.71073E+12,3.96707E+11,2.10047E+12,2.14758E+11
Detorid,4.2834E+13,75161751890,3.90276E+13,62647445650,4.38739E+11,3.80641E+12,0,1.21526E+12,5.16562E+11,9.61958E+11,2.14828E+11
Omist,6.5231E+12,5010191470,6.55053E+12,4341295189,5.62783E+11,0,27429251539,1.56683E+12,1.72605E+11,7.40719E+11,2.20174E+11
Wicked Creek,3.52479E+13,42998504044,4.3541E+13,41984129769,2.85341E+11,0,8.2931E+12,1.48682E+12,2.30983E+11,9.26174E+11,2.23283E+11
Oasa,4.40019E+13,33234333772,4.75484E+13,32459182148,5.06534E+11,0,3.5465E+12,1.5746E+12,3.2446E+11,7.72533E+11,2.32692E+11
Stain,3.70711E+13,23908490595,3.50667E+13,22626687571,3.74148E+11,2.00443E+12,0,1.85915E+11,3.40611E+11,3.95029E+11,2.98461E+11
Syndicate,5.07342E+13,53889420748,5.5259E+13,53812592655,5.37258E+11,0,4.52482E+12,1.00444E+11,9.18519E+11,8.91102E+11,3.42441E+11
Feythabolis,1.82403E+13,11851232945,2.17639E+13,12292692958,5.22123E+11,0,3.52351E+12,2.81484E+12,2.7812E+11,7.26539E+11,3.53012E+11
Tribute,1.05197E+14,1.09159E+11,1.5284E+14,1.37306E+11,1.59308E+12,0,4.76429E+13,1.15282E+12,4.68927E+11,5.75404E+12,3.72141E+11
Cache,4.80934E+13,75395684741,5.99326E+13,95091562796,1.96555E+11,0,1.18392E+13,5.61061E+11,2.54896E+11,7.20195E+11,4.08647E+11
Perrigen Falls,5.84264E+13,51138255630,6.29617E+13,48845101630,6.0784E+11,0,4.5353E+12,1.49527E+12,3.72896E+11,1.17801E+12,4.49856E+11
Immensea,2.37075E+13,33640243921,3.1212E+13,34082342256,1.55581E+11,0,7.50442E+12,8.53828E+11,5.50231E+11,4.10799E+11,4.52996E+11
Fountain,6.20351E+13,99178162209,8.80104E+13,1.14373E+11,8.54944E+11,0,2.59753E+13,1.64428E+12,6.18992E+11,1.14356E+12,4.79968E+11
Outer Passage,2.37574E+13,16168374044,2.55409E+13,17773306845,5.84079E+11,0,1.78347E+12,2.47678E+12,3.13856E+11,1.097E+12,4.90626E+11
Querious,1.98307E+14,2.12356E+11,2.11447E+14,2.14795E+11,2.97579E+12,0,1.31396E+13,3.03449E+12,4.64002E+11,2.95363E+12,5.35537E+11
Insmother,8.16974E+13,1.25583E+11,7.37864E+13,1.28613E+11,3.21104E+11,7.91107E+12,0,4.60022E+11,1.05892E+12,1.39716E+12,5.95752E+11
Pure Blind,1.15664E+14,1.25666E+11,1.14529E+14,1.28767E+11,5.23767E+11,1.13595E+12,0,8.20448E+11,8.40056E+11,1.23132E+12,6.11232E+11
Impass,5.68743E+13,46931934321,6.02492E+13,41854167902,6.99107E+11,0,3.37491E+12,4.2717E+11,2.50726E+11,1.01285E+12,6.38793E+11
Molden Heath,6.06823E+13,54445544346,6.90415E+13,54098581796,2.60462E+11,0,8.35916E+12,80401565780,2.38695E+11,2.47504E+11,7.1916E+11
Solitude,3.09932E+13,25386209080,3.63723E+13,25699605405,2.14688E+11,0,5.37913E+12,37694811043,1.05073E+11,1.52082E+11,7.34165E+11
Outer Ring,1.33156E+13,11340859690,1.39538E+13,12132557104,2.90256E+11,0,6.38215E+11,45275135529,1.54545E+11,4.80224E+11,7.99882E+11
Black Rise,1.17154E+14,1.27329E+11,1.10825E+14,1.25321E+11,2.45655E+11,6.32911E+12,0,87048452481,1.63724E+12,9.16798E+11,8.09311E+11
Khanid,2.64417E+14,1.63523E+11,2.61737E+14,1.62837E+11,3.56335E+11,2.68054E+12,0,68853604221,2.5381E+11,3.17002E+11,8.68072E+11
Aridia,8.7682E+13,44203952846,8.9951E+13,43485015120,1.60143E+11,0,2.26891E+12,50043036646,3.56578E+11,4.67804E+11,9.33604E+11
Malpais,6.46701E+13,45204076409,7.08183E+13,43882401917,1.1086E+12,0,6.14818E+12,1.92868E+12,4.71109E+11,3.01658E+12,9.35012E+11
Curse,1.05551E+14,1.03411E+11,8.05896E+13,77898472635,59464740659,2.49616E+13,0,1.45897E+11,5.7904E+11,7.53407E+11,9.45237E+11
Devoid,1.60888E+14,1.38665E+11,1.52384E+14,1.41174E+11,2.0666E+11,8.50377E+12,0,63750316040,6.21138E+11,3.73424E+11,1.0316E+12
Geminate,1.21605E+14,92389742378,1.08134E+14,85135486619,3.91197E+11,1.34714E+13,0,1.45598E+12,8.97204E+11,2.13613E+12,1.14558E+12
Cobalt Edge,2.74405E+13,14243938443,2.60383E+13,13861122704,1.34763E+12,1.40222E+12,0,2.51695E+12,4.63967E+11,2.73305E+12,1.16073E+12
Kador,1.55042E+14,1.65217E+11,1.4967E+14,1.63885E+11,5.53246E+11,5.37186E+12,0,1.58923E+11,2.05657E+11,8.89403E+11,1.18222E+12
Derelik,1.8295E+14,1.39352E+11,1.77798E+14,1.63742E+11,4.06258E+11,5.1526E+12,0,1.00118E+11,5.83704E+11,5.61448E+11,1.52576E+12
Placid,1.10013E+14,94979262123,1.04323E+14,96149556145,1.38471E+11,5.68904E+12,0,77522986690,1.00565E+12,4.76053E+11,2.23484E+12
