regionName,exports,exportsm3,imports,importsm3,mining.value,net.exports,net.imports,npc.bounties,total.destroyed,total.production,trade.value
Tenal,6.08142E+11,491787267.2,5.48674E+11,550928387.1,2.47003E+11,59467998027,0,1.11115E+12,1.44122E+11,1.60607E+11,14335731722
Paragon Soul,6.7749E+11,1006445340,1.05639E+12,883880050.5,2.46057E+11,0,3.78903E+11,3.87048E+11,2.27322E+11,2.51093E+11,32036213615
Scalding Pass,1.09572E+12,1733559285,1.42986E+12,2625663827,2.90014E+11,0,3.34143E+11,4.53121E+11,2.75809E+11,3.18883E+11,38591803540
Cloud Ring,1.45687E+12,1372597857,7.94547E+11,1297755031,1.59763E+11,6.62324E+11,0,2.0191E+11,6.65456E+11,74200055978,71099348818
Venal,4.70807E+12,2869265105,2.09312E+12,1648294567,2.07517E+11,2.61495E+12,0,2.43411E+11,4.84165E+11,1.24133E+11,72496190037
Etherium Reach,6.96101E+12,4693641137,7.04617E+12,4631701560,3.21302E+11,0,85156070387,7.10924E+11,4.41269E+11,7.95892E+11,76160737986
Vale of the Silent,6.59028E+12,8917770923,5.54803E+12,7824191733,8.04578E+11,1.04225E+12,0,2.24158E+12,4.48742E+11,3.11463E+12,84645143939
Great Wildlands,4.59251E+12,4738311319,4.45402E+12,4108778406,2.48763E+11,1.3849E+11,0,27658541879,4.65633E+11,2.90071E+11,95778070857
Period Basis,1.0455E+12,170978249.8,3.1033E+11,257973652,1.54427E+11,7.35172E+11,0,1.81822E+12,2.42669E+11,4.3379E+11,1.26404E+11
Cache,1.16202E+12,965000838.9,1.01717E+12,982172659.5,2.45675E+11,1.44843E+11,0,5.85985E+11,1.27053E+11,5.87894E+11,1.52764E+11
The Spire,3.56243E+12,7525594235,1.00769E+13,13322385458,1.55896E+11,0,6.51446E+12,6.42864E+11,4.01958E+11,2.29813E+11,1.5433E+11
Tenerifis,6.10462E+11,762649476.2,7.14436E+11,636292979.8,2.17294E+11,0,1.03974E+11,1.03023E+12,4.97414E+11,3.48475E+11,1.55211E+11
Oasa,7.12391E+12,1331870593,4.7407E+12,1219771202,2.75693E+11,2.38321E+12,0,1.09921E+12,5.40021E+11,7.10721E+11,1.76043E+11
The Kalevala Expanse,2.69247E+12,1768689406,2.84564E+12,1761691373,1.03723E+12,0,1.53174E+11,1.5426E+12,2.30307E+11,2.63493E+12,1.91228E+11
Wicked Creek,2.38935E+12,4255875596,2.32673E+12,3212787486,1.4186E+11,62628459029,0,9.29803E+11,8.57567E+11,1.16493E+12,1.964E+11
Omist,4.89698E+11,290196878.1,1.05207E+11,94123676.14,5.52897E+11,3.84491E+11,0,1.14881E+12,1.3231E+11,9.21878E+11,2.30503E+11
Stain,1.07625E+12,917997270.7,1.2915E+12,1006761919,4.24677E+11,0,2.1525E+11,1.27974E+11,3.83584E+11,4.11294E+11,2.46942E+11
Tribute,5.80389E+12,7931766699,6.09746E+12,8610492461,8.82774E+11,0,2.93572E+11,1.01978E+12,3.5851E+11,6.35682E+12,2.63292E+11
The Bleak Lands,1.44587E+12,1372162988,1.59695E+12,1533115695,84202351044,0,1.51076E+11,11837175382,5.82241E+11,4.67341E+11,2.75668E+11
Immensea,2.74029E+12,2403133889,1.70259E+12,2484033321,1.04408E+11,1.0377E+12,0,4.18993E+11,4.78298E+11,6.25552E+11,2.9741E+11
Querious,8.03448E+12,9691820590,7.82163E+12,10292025592,2.98678E+12,2.12852E+11,0,2.66242E+12,5.36408E+11,2.22786E+12,3.10159E+11
Detorid,1.87375E+12,3720489477,3.49993E+12,7023665434,5.86453E+11,0,1.62618E+12,2.34771E+12,8.38649E+11,1.32659E+12,3.51129E+11
Perrigen Falls,7.37765E+12,7858820433,5.83508E+12,9027758508,4.21165E+11,1.54258E+12,0,1.08034E+12,6.87739E+11,1.00734E+12,4.31313E+11
Solitude,7.87943E+11,1149897605,5.42464E+11,743357435.1,2.04687E+11,2.45479E+11,0,30562512623,1.00948E+11,1.14775E+11,4.56441E+11
Outer Passage,7.33139E+11,577983218.3,7.66457E+11,620445266.8,8.14658E+11,0,33317847672,2.38914E+12,5.00254E+11,1.39928E+12,4.80403E+11
Syndicate,6.4714E+11,872739126.9,6.25419E+11,796150849.2,4.35466E+11,21720661511,0,83528435008,5.74631E+11,8.668E+11,4.87041E+11
Feythabolis,7.22753E+11,370165500.7,9.77346E+11,450155403.9,3.676E+11,0,2.54593E+11,2.07201E+12,2.89022E+11,6.44121E+11,4.89035E+11
Curse,3.11035E+12,5827598138,4.9053E+12,5237430738,10434879455,0,1.79495E+12,76811552432,5.98451E+11,7.01191E+11,4.93796E+11
Molden Heath,1.65838E+12,2096234172,1.10773E+12,1649818232,1.94716E+11,5.50651E+11,0,50853604259,2.52746E+11,1.50475E+11,5.48727E+11
Fountain,1.38064E+12,1715843202,1.12507E+12,2199523705,1.1144E+12,2.55568E+11,0,2.06168E+12,6.69007E+11,1.49793E+12,5.65123E+11
Outer Ring,2.76147E+11,406999600.1,5.99305E+11,412475211.8,1.35366E+11,0,3.23158E+11,28469444570,74611955550,1.19289E+11,5.71391E+11
Pure Blind,5.85771E+12,8145628858,6.49692E+12,7790513991,4.82372E+11,0,6.39213E+11,8.83593E+11,1.14984E+12,1.10715E+12,6.52942E+11
Geminate,6.16422E+12,4276808706,5.78788E+12,5560572545,2.19214E+11,3.76341E+11,0,1.10751E+12,5.48595E+11,1.5187E+12,6.93418E+11
Malpais,4.99434E+12,1970888587,5.43526E+12,1841813747,5.84722E+11,0,4.40914E+11,1.44956E+12,4.07928E+11,2.68889E+12,7.14797E+11
Insmother,7.01358E+12,13452078752,5.19677E+12,7129074288,1.21199E+11,1.8168E+12,0,4.56687E+11,8.63617E+11,7.65817E+11,7.87997E+11
Black Rise,2.47577E+12,3275244516,3.27834E+12,3859366363,1.71601E+11,0,8.02568E+11,68264059628,1.48014E+12,1.21854E+12,7.94463E+11
Khanid,7.02127E+12,4759568703,7.16106E+12,4774573764,3.47719E+11,0,1.3979E+11,43763342109,3.0089E+11,3.04579E+11,8.79986E+11
