regionName,exports,exportsm3,imports,importsm3,mining.value,net.exports,net.imports,npc.bounties,total.destroyed,total.production,trade.value
Paragon Soul,6.41252E+12,8515249252,8.73266E+12,9552234153,1.75356E+11,0,2.32014E+12,2.48974E+11,84812578291,1.99441E+11,23754808637
Tenal,3.72597E+13,38044213126,2.95671E+13,15495577599,3.08449E+11,7.6926E+12,0,1.41728E+12,1.44347E+11,1.34361E+11,25276803196
Scalding Pass,5.14821E+13,36719337968,5.45396E+13,36601057288,3.03674E+11,0,3.05745E+12,6.65024E+11,3.53784E+11,4.04603E+11,33571168194
The Spire,4.31827E+13,42896476627,4.93776E+13,44650547931,1.43408E+11,0,6.19494E+12,7.02773E+11,2.47982E+11,3.85355E+11,80064617194
Vale of the Silent,8.63473E+13,68952854434,6.40733E+13,62396146662,6.21351E+11,2.22741E+13,0,2.6219E+12,4.77652E+11,3.68536E+12,81761704812
Etherium Reach,9.59678E+13,66126710832,9.3287E+13,62791341046,3.91297E+11,2.6808E+12,0,6.8875E+11,5.34668E+11,5.25562E+11,83109442431
Venal,8.83102E+13,76179312247,8.88265E+13,77457646173,2.55101E+11,0,5.1625E+11,2.34283E+11,3.32937E+11,1.09433E+11,98559297086
Cloud Ring,1.60476E+14,3.63389E+11,1.68306E+14,3.74017E+11,1.64948E+11,0,7.8298E+12,1.95606E+11,1.61608E+12,92280067461,98921940294
Great Wildlands,7.52443E+13,50623293267,7.19141E+13,48523069581,2.57633E+11,3.33021E+12,0,35593640273,2.2493E+11,2.58868E+11,1.1805E+11
Tenerifis,2.79315E+13,22785480928,2.40574E+13,25575209875,1.29771E+11,3.87418E+12,0,7.01619E+11,3.61948E+11,1.95778E+11,1.20837E+11
Period Basis,6.67605E+12,9073673145,9.03504E+12,7343247020,1.70093E+11,0,2.35899E+12,2.07982E+12,2.41439E+11,3.50695E+11,1.4294E+11
Omist,9.2202E+12,5058430240,7.40228E+12,3660979205,4.20399E+11,1.81792E+12,0,1.38542E+12,3.39302E+11,8.8725E+11,2.10457E+11
Detorid,5.47544E+13,70879619708,4.97585E+13,66580824149,4.97886E+11,4.99583E+12,0,1.80612E+12,6.1301E+11,1.05621E+12,2.16537E+11
Oasa,6.33547E+13,47615230824,5.05455E+13,48004728578,4.0776E+11,1.28092E+13,0,1.27897E+12,4.00927E+11,6.82896E+11,2.21571E+11
Wicked Creek,5.01364E+13,69065227742,5.86516E+13,64858494907,2.60897E+11,0,8.51527E+12,1.48159E+12,2.4988E+11,1.21417E+12,2.30494E+11
The Kalevala Expanse,6.57334E+13,41112193601,7.07327E+13,41271022151,1.24767E+12,0,4.99923E+12,1.97095E+12,2.91342E+11,2.13036E+12,2.73374E+11
Stain,3.67062E+13,25250470121,4.03719E+13,25085599082,3.51688E+11,0,3.6657E+12,1.75556E+11,4.00286E+11,4.07084E+11,2.94109E+11
Cache,6.35441E+13,83101496893,5.95252E+13,67240863162,2.56912E+11,4.01896E+12,0,6.86444E+11,1.44096E+11,7.98787E+11,3.21482E+11
The Bleak Lands,5.35561E+13,49998770411,5.38444E+13,49551820645,94847239603,0,2.88311E+11,15477622232,5.96128E+11,4.24057E+11,3.5072E+11
Immensea,2.37045E+13,43819100421,2.52693E+13,41591220294,1.60408E+11,0,1.56482E+12,6.99563E+11,4.02633E+11,3.75795E+11,3.83614E+11
Solitude,2.8148E+13,21381162009,3.18725E+13,23300480796,1.9372E+11,0,3.72455E+12,35276349321,1.57895E+11,1.44886E+11,4.06863E+11
Tribute,1.3525E+14,1.87043E+11,1.36962E+14,1.16993E+11,7.85718E+11,0,1.71125E+12,1.13528E+12,4.02932E+11,7.06933E+12,4.37355E+11
Outer Passage,2.27299E+13,18396569644,2.83642E+13,18059405953,6.3459E+11,0,5.63432E+12,2.40644E+12,3.59038E+11,1.63272E+12,4.49374E+11
Outer Ring,1.86161E+13,24711288084,1.49773E+13,24691410508,1.04617E+11,3.63879E+12,0,35922970395,2.27128E+11,2.40412E+11,4.61588E+11
Querious,2.08939E+14,2.15961E+11,2.18939E+14,2.09606E+11,2.52657E+12,0,1.00003E+13,3.23279E+12,6.40048E+11,2.71216E+12,4.83568E+11
