regionName,exports,exportsm3,imports,importsm3,mining.value,net.exports,net.imports,npc.bounties,total.destroyed,total.production,trade.value
D-R00016,1.31256E+13,10359590390,1.2262E+13,9951866335,51608112268,8.63608E+11,0,2374837679,1.55299E+11,1.17786E+11,10637530117
Tribute,5.42929E+13,41518366478,4.84657E+13,33787592637,27568400458,5.82722E+12,0,3.06082E+11,2.1471E+11,3.23238E+12,19325810207
Cloud Ring,2.17087E+13,26848728362,1.98028E+13,27325370359,36945086932,1.9059E+12,0,1.62286E+11,3.72396E+11,99291911722,57272021083
Tenal,3.03247E+13,22970858904,2.71411E+13,25942099421,6.3244E+11,3.18365E+12,0,1.12721E+12,1.55597E+11,90209041322,61343990199
Vale of the Silent,5.70938E+13,44131687086,7.32191E+13,45738020129,2.27852E+11,0,1.61252E+13,1.70168E+12,2.93337E+11,3.3657E+12,67539493068
Paragon Soul,7.46984E+12,10703152511,8.20926E+12,11192519235,1.16618E+11,0,7.3942E+11,3.11645E+11,1.45047E+11,3.96322E+11,70128282584
Cache,1.74136E+13,14854671872,1.8762E+13,14763903608,1.04482E+11,0,1.34835E+12,7.30143E+11,94741668637,2.68874E+11,71750395697
Great Wildlands,8.14983E+13,63506067048,7.33638E+13,63132849095,55001178576,8.13453E+12,0,34315959802,3.31185E+11,2.69544E+11,77267811903
Scalding Pass,5.42803E+13,53277531884,4.71596E+13,46928829457,1.01351E+11,7.1206E+12,0,5.74461E+11,3.54162E+11,5.86497E+11,77492220013
Etherium Reach,1.48642E+14,85030028279,1.27819E+14,81077293549,1.16351E+11,2.08222E+13,0,4.21975E+11,2.91025E+11,3.419E+11,81449013659
Wicked Creek,2.84186E+13,28173419682,2.39795E+13,27129793526,56780055241,4.43901E+12,0,7.29299E+11,4.0998E+11,1.86028E+11,1.06579E+11
The Spire,7.00218E+13,44510024609,5.07821E+13,40804869855,2.56187E+11,1.92397E+13,0,1.12546E+12,1.64946E+11,6.95956E+11,1.16087E+11
Venal,6.52819E+13,57356943382,7.32753E+13,79115670570,6107989473,0,7.99335E+12,2.0336E+11,2.83696E+11,94656943956,1.16124E+11
Omist,7.76656E+12,11317330050,8.1141E+12,10791664010,4.63327E+11,0,3.47539E+11,9.97436E+11,1.01776E+11,4.50925E+11,1.37425E+11
Feythabolis,2.22184E+13,17572570608,1.29504E+13,17848338874,1.3537E+11,9.26793E+12,0,1.68672E+12,3.18537E+11,4.24697E+11,1.50818E+11
Detorid,2.81359E+13,36028870724,3.90071E+13,39804985243,2.40718E+11,0,1.08712E+13,8.37418E+11,4.63497E+11,7.64888E+11,1.72905E+11
The Bleak Lands,6.17491E+13,68530727056,5.95072E+13,66175679605,68809432755,2.24188E+12,0,16034775841,6.72323E+11,1.1168E+12,1.84781E+11
