regionName,exports,exportsm3,imports,importsm3,mining.value,net.exports,net.imports,npc.bounties,total.destroyed,total.production,trade.value
C-R00011,1.27982E+13,7884594494,1.27212E+13,8044649547,27535868250,76979544289,0,267229871,1.10651E+11,36652291158,47175000
D-R00017,3.70807E+12,3590377977,4.07961E+12,3698357324,6179020895,0,3.71539E+11,76462998,16600360727,14089277798,70320000
E-R00029,1.82281E+13,26593536378,1.83117E+13,26882651375,78572315017,0,83616056427,259074416,1.6444E+11,54039584477,92100000
A-R00003,4.9246E+12,2419896091,5.15973E+12,2526917645,11242571009,0,2.35129E+11,188550246,45447815485,1.48584E+11,375275138.5
D-R00023,4.26751E+12,3078183420,3.00444E+12,3083317849,5890856070,1.26307E+12,0,76513060,49012685252,3410183847,397444771
C-R00014,1.71932E+13,11140621613,1.68946E+13,11405501994,22807860960,2.9861E+11,0,312059553,1.12826E+11,57444946799,5.00E+08
C-R00012,2.78924E+13,16242764280,2.78887E+13,16348657401,33241085841,3677072454,0,339189988,1.90008E+11,2.20616E+11,1319939903
E-R00024,2.3411E+13,41691636987,2.30941E+13,41988537905,1.06962E+11,3.16941E+11,0,339740141,1.98658E+11,96804806263,1515885877
B-R00008,2.27665E+13,12287395440,2.19977E+13,12440755964,23919695499,7.68836E+11,0,389791291,1.33028E+11,77199870076,2571061722
A-R00001,8.61305E+12,3365930750,9.12416E+12,3409923203,31405792560,0,5.1111E+11,425278832,44223284698,59642966801,3855799532
B-R00007,2.56688E+13,22112878945,2.67659E+13,22421764414,19874689323,0,1.09713E+12,150153260,1.60965E+11,1.37011E+11,10092015098
F-R00030,2.24501E+13,56424959664,2.22455E+13,57757416293,1.18384E+11,2.04573E+11,0,345123694,2.08509E+11,2.33141E+11,10705177794
B-R00004,2.63135E+13,19249561030,2.6143E+13,19289281307,34921198009,1.70561E+11,0,368819836,1.94242E+11,5.00454E+11,11596454654
D-R00022,1.45058E+13,14222757808,1.56384E+13,14566897608,27150995478,0,1.13256E+12,258866712,1.25807E+11,1.45083E+11,17391751165
Tribute,5.40037E+13,41369305938,5.72146E+13,32768984718,31435649367,0,3.21092E+12,2.73521E+11,2.24115E+11,3.39028E+12,19683882243
G-R00031,7.39637E+12,2871315449,8.14863E+12,3001553772,3371664267,0,7.52257E+11,1065129,30600427726,4186541714,19901215372
B-R00005,2.15243E+13,13164989051,2.12332E+13,13452916358,24751310290,2.91165E+11,0,311554537,1.22233E+11,1.46747E+11,23516869777
D-R00016,1.38978E+13,10617146423,1.34512E+13,10758809306,33180040637,4.46642E+11,0,4028807152,87924150095,1.13721E+11,24445096672
