regionName,exports,exportsm3,imports,importsm3,mining.value,net.exports,net.imports,npc.bounties,total.destroyed,total.production,trade.value
Tenal,5.24018E+11,512665926.2,5.19117E+11,535758425.3,4.94249E+11,4901044922,0,1.36737E+12,98211764548,1.23821E+11,24772423015
Cloud Ring,8.86608E+11,1564281047,9.76985E+11,1793302667,86452844337,0,90377122297,1.26699E+11,3.02307E+11,45641521626,30789060070
Scalding Pass,1.04156E+12,961453337.7,1.06536E+12,1063415300,2.24749E+11,0,23800624059,4.67723E+11,3.00044E+11,3.09803E+11,47737133514
Paragon Soul,2.30717E+11,478868584.8,5.78542E+11,731935979.3,3.22598E+11,0,3.47825E+11,4.12817E+11,3.52565E+11,3.70796E+11,53393932263
Venal,2.90526E+12,1836120303,2.11864E+12,1736502806,2.39488E+11,7.86621E+11,0,2.41032E+11,3.21054E+11,1.26761E+11,82868020430
Great Wildlands,4.04348E+12,1792316730,4.04065E+12,1616123539,2.75574E+11,2830297697,0,39091967096,7.75179E+11,3.98822E+11,1.00901E+11
Etherium Reach,4.37677E+12,1749695245,4.17131E+12,2002524451,2.76946E+11,2.0546E+11,0,7.71273E+11,5.40241E+11,9.2757E+11,1.24507E+11
Period Basis,2.53652E+11,472700668.7,3.0718E+11,381367977.6,86278000277,0,53527534774,2.06989E+12,2.7627E+11,3.94168E+11,1.37016E+11
Cache,8.7385E+11,631622368.1,1.01867E+12,752199957.1,2.17063E+11,0,1.4482E+11,6.53129E+11,2.17362E+11,5.36798E+11,1.40469E+11
Omist,98310120418,96049567.4,1.13388E+11,76610778.41,3.76661E+11,0,15077577286,8.34909E+11,2.38597E+11,1.08044E+12,1.68853E+11
The Kalevala Expanse,2.93332E+12,1457741180,2.67414E+12,1184922918,9.09713E+11,2.59188E+11,0,1.37589E+12,3.41817E+11,2.74912E+12,1.91694E+11
Tenerifis,4.27161E+11,808349846.1,7.22538E+11,882753113.3,1.95124E+11,0,2.95377E+11,8.49925E+11,4.18008E+11,5.34358E+11,2.04844E+11
Wicked Creek,1.79638E+12,1496629432,1.37547E+12,1693479703,1.58496E+11,4.20908E+11,0,1.15644E+12,4.44451E+11,1.34441E+12,2.53284E+11
The Spire,1.13217E+12,988491829.9,2.20016E+12,1156002041,2.0277E+11,0,1.06799E+12,8.18332E+11,2.92929E+11,4.78334E+11,2.55655E+11
The Bleak Lands,3.67606E+12,3185592028,3.08393E+12,2705895604,1.7027E+11,5.92131E+11,0,14253343298,5.57229E+11,5.04987E+11,2.57615E+11
Immensea,1.90922E+12,5182815458,2.9987E+12,4638626997,1.70886E+11,0,1.08948E+12,7.80983E+11,1.11526E+12,5.70117E+11,3.20027E+11
