regionName,exports,exportsm3,imports,importsm3,mining.value,net.exports,net.imports,npc.bounties,total.destroyed,total.production,trade.value
Paragon Soul,8.18219E+12,14516990389,1.86369E+13,15654633562,25383571386,0,1.04547E+13,67961214158,3.27263E+11,67803698517,21104690593
Great Wildlands,6.4698E+13,51551128334,6.69648E+13,53269070022,44818145157,0,2.26671E+12,34057466839,2.7466E+11,57241177875,22921728447
D-R00016,1.42705E+13,11883338661,1.47408E+13,12248353766,45010422092,0,4.70306E+11,7860889790,1.07789E+11,1.52948E+11,30822328090
Cloud Ring,3.88613E+13,49480135163,3.59222E+13,45603624236,35879281449,2.93914E+12,0,1.67159E+11,4.33442E+11,55920642093,59632733264
Tribute,9.14292E+13,1.05363E+11,8.22572E+13,97249826220,2.24481E+11,9.17195E+12,0,5.38864E+11,2.84692E+11,2.89491E+12,87544463900
Etherium Reach,9.45801E+13,66716779281,8.87494E+13,67084489325,2.09261E+11,5.83072E+12,0,8.05811E+11,3.27791E+11,5.61585E+11,99303916944
Cache,1.43348E+13,8539516480,1.53602E+13,8429006279,1.6346E+11,0,1.0254E+12,8.83682E+11,1.28931E+11,2.29578E+11,1.0196E+11
Wicked Creek,2.63773E+13,29154228058,2.31283E+13,27028398274,93719763450,3.24897E+12,0,3.88074E+11,2.82515E+11,1.89807E+11,1.05745E+11
The Spire,2.68908E+13,20136373891,2.78971E+13,19651986761,3.77164E+11,0,1.00631E+12,1.21471E+12,1.82198E+11,6.69084E+11,1.15134E+11
The Bleak Lands,7.74433E+13,72682093587,7.40136E+13,72645460429,67418651405,3.42967E+12,0,13621767612,4.6593E+11,2.75492E+11,1.34705E+11
Vale of the Silent,7.10581E+13,1.00472E+11,5.50758E+13,63348391319,4.70045E+11,1.59823E+13,0,2.57765E+12,4.36433E+11,2.88088E+12,1.37933E+11
Scalding Pass,3.25456E+13,37363064454,3.9693E+13,39415673145,1.72237E+11,0,7.14747E+12,7.88819E+11,6.18736E+11,9.43282E+11,1.41541E+11
Venal,7.99364E+13,81610458329,7.64315E+13,79093110645,5581496052,3.50488E+12,0,1.50486E+11,2.68849E+11,98089361879,1.73288E+11
Detorid,2.16719E+13,24336754949,2.51028E+13,22843525038,3.95923E+11,0,3.43088E+12,1.05122E+12,4.34693E+11,1.12383E+12,2.1095E+11
Omist,6.70664E+12,5742138439,5.39736E+12,4563380800,3.95436E+11,1.30928E+12,0,1.37733E+12,1.5926E+11,8.96766E+11,2.11844E+11
Querious,1.02768E+14,1.42405E+11,1.29614E+14,1.53383E+11,9.81339E+11,0,2.68456E+13,1.56581E+12,6.27963E+11,6.65197E+11,2.14849E+11
The Kalevala Expanse,5.80237E+13,42261833389,6.36195E+13,43029811394,8.09672E+11,0,5.59576E+12,1.35956E+12,3.11765E+11,1.2184E+12,2.65532E+11
Feythabolis,1.60102E+13,15639618957,1.4471E+13,15767341751,1.63688E+11,1.53929E+12,0,2.40097E+12,2.94912E+11,7.91452E+11,2.74617E+11
Oasa,5.14424E+13,40981944122,5.34732E+13,40105585628,5.09377E+11,0,2.03087E+12,2.16539E+12,3.63864E+11,1.4797E+12,2.89278E+11
Outer Passage,1.9799E+13,11702887825,1.57208E+13,11842150326,8.48818E+11,4.07823E+12,0,2.40597E+12,5.03644E+11,1.28957E+12,3.055E+11
Insmother,3.67294E+13,28048637320,3.78345E+13,27225173998,6.90701E+11,0,1.10513E+12,1.49027E+12,2.99459E+11,2.25678E+12,3.07076E+11
Tenal,2.02866E+13,23039837736,2.44539E+13,23498370879,1.95849E+11,0,4.1673E+12,9.04116E+11,4.67226E+11,1.29604E+12,3.26736E+11
Tenerifis,3.60891E+13,36487415384,4.31083E+13,34915273119,7.04046E+11,0,7.01917E+12,1.5033E+12,3.86385E+11,1.60897E+12,3.75451E+11
Fountain,2.8513E+13,24466532971,2.63003E+13,24019589660,5.15069E+11,2.21278E+12,0,1.10748E+12,4.63948E+11,1.43726E+12,4.07764E+11
Period Basis,1.87349E+13,12785290311,2.08237E+13,10785323498,2.50775E+11,0,2.08878E+12,1.58875E+12,3.46121E+11,6.85834E+11,4.09139E+11
Stain,3.75814E+13,38582308668,4.75283E+13,37822915398,50363254772,0,9.9469E+12,2.39925E+11,7.39403E+11,5.97746E+11,4.28723E+11
Outer Ring,1.00076E+13,13385735593,8.78591E+12,13680452340,57341164308,1.22165E+12,0,40746818479,96969690600,1.81179E+11,4.39542E+11
Perrigen Falls,5.14401E+13,45904679237,5.40181E+13,50877526799,4.15947E+11,0,2.57795E+12,1.62514E+12,4.34517E+11,1.16163E+12,5.37972E+11
Syndicate,6.37415E+13,1.11453E+11,6.13688E+13,1.18481E+11,70272090233,2.37264E+12,0,88091190940,8.84906E+11,9.27188E+11,5.53222E+11
Molden Heath,6.16069E+13,60760742810,5.49528E+13,59902042953,1.87163E+11,6.65416E+12,0,92572674501,1.12108E+11,2.94369E+11,5.87155E+11
Solitude,3.36175E+13,36453991868,3.1191E+13,36034984333,2.31667E+11,2.42655E+12,0,39815469482,1.1799E+11,3.22348E+11,6.25292E+11
Black Rise,9.81505E+13,1.21603E+11,8.60289E+13,1.18564E+11,92659370307,1.21216E+13,0,64463959935,1.29173E+12,1.3537E+12,7.29305E+11
Curse,8.56037E+13,1.10092E+11,9.06225E+13,1.12164E+11,19043279154,0,5.01878E+12,1.25383E+11,4.02994E+11,7.45466E+11,7.58976E+11
Aridia,9.95179E+13,58571845104,9.68078E+13,60926848960,89271990594,2.71019E+12,0,61526265320,2.57265E+11,8.52471E+11,7.70237E+11
Khanid,2.12895E+14,1.79573E+11,2.1467E+14,1.78962E+11,3.26758E+11,0,1.77548E+12,48745731072,2.05246E+11,4.96565E+11,8.37631E+11
Fade,3.4088E+13,35890382774,3.73862E+13,39927264921,2.64954E+11,0,3.29821E+12,1.46592E+12,6.41956E+11,6.86277E+11,8.81995E+11
Devoid,1.33516E+14,1.66957E+11,1.33065E+14,1.69062E+11,2.02859E+11,4.51308E+11,0,51678017034,2.14646E+11,8.60934E+11,8.88783E+11
Kador,1.38781E+14,1.80335E+11,1.2623E+14,1.75465E+11,4.16424E+11,1.25515E+13,0,1.856E+11,2.26255E+11,9.93529E+11,9.82454E+11
Malpais,6.19107E+13,47848102443,7.14117E+13,45711834686,1.30681E+12,0,9.50107E+12,2.00958E+12,5.51843E+11,3.46846E+12,9.96641E+11
Cobalt Edge,3.10689E+13,26634516322,2.589E+13,21860967797,5.62985E+11,5.17888E+12,0,2.23974E+12,7.83629E+11,2.91475E+12,1.02704E+12
Kor-Azor,2.82461E+14,2.33194E+11,2.79285E+14,2.32901E+11,1.84068E+11,3.17608E+12,0,1.23444E+11,1.91474E+11,6.45105E+11,1.25872E+12
Immensea,6.24305E+13,53560527951,6.12405E+13,52385242423,3.55719E+11,1.19002E+12,0,1.24426E+12,6.50299E+11,1.6203E+12,1.28382E+12
