regionName,exports,exportsm3,imports,importsm3,mining.value,net.exports,net.imports,npc.bounties,total.destroyed,total.production,trade.value
Paragon Soul,6.93098E+12,7367184331,5.79163E+12,6507102649,96947871771,1.13935E+12,0,81501251594,44404669485,6160898758,5551348774
Cloud Ring,2.04986E+13,21211791255,2.876E+13,24299766382,1.28746E+11,0,8.26148E+12,2.103E+11,2.39051E+11,63699416482,37639952145
Tenal,2.61531E+13,15633747688,2.88203E+13,18679923396,1.07365E+12,0,2.66722E+12,1.87534E+12,1.71114E+11,3.3868E+11,39793162429
Scalding Pass,2.54891E+13,32376265992,2.83991E+13,33131655038,3.25947E+11,0,2.90992E+12,4.57446E+11,3.04441E+11,3.68596E+11,52621186892
Great Wildlands,9.55478E+13,97538415452,1.05368E+14,97211712047,1.77811E+11,0,9.82043E+12,39528609456,4.99735E+11,2.01624E+11,92140125442
Venal,9.03648E+13,1.11443E+11,8.70226E+13,1.04909E+11,2.1821E+11,3.34224E+12,0,1.93657E+11,3.38868E+11,1.21273E+11,1.02586E+11
Vale of the Silent,7.10341E+13,59822028196,7.29807E+13,59418198904,8.3751E+11,0,1.94667E+12,2.39034E+12,4.68006E+11,2.95936E+12,1.10965E+11
Etherium Reach,1.22448E+14,73645524089,1.16315E+14,77275666724,5.89089E+11,6.13316E+12,0,8.99365E+11,5.62747E+11,7.03781E+11,1.16194E+11
Cache,3.98645E+13,30726333206,4.21989E+13,31873046799,1.67278E+11,0,2.33445E+12,6.61822E+11,2.47235E+11,3.10616E+11,1.18581E+11
The Spire,4.5435E+13,34950755881,5.71673E+13,41623020135,3.46309E+11,0,1.17323E+13,1.32836E+12,4.34055E+11,4.45468E+11,1.45392E+11
The Bleak Lands,7.97734E+13,73034090981,8.01117E+13,70102262596,92719222487,0,3.3829E+11,20561124806,6.70855E+11,8.43465E+11,1.58712E+11
Tribute,8.51131E+13,81379697116,9.17586E+13,76471153998,8.81451E+11,0,6.64549E+12,7.05682E+11,4.0678E+11,5.16077E+12,1.68513E+11
Tenerifis,5.96208E+13,47472240651,4.14442E+13,40094225174,1.92289E+11,1.81766E+13,0,3.75203E+11,3.4679E+11,1.71855E+11,1.96947E+11
Omist,6.11587E+12,5195763673,7.91791E+12,4596966903,7.03897E+11,0,1.80203E+12,1.62015E+12,1.34206E+11,8.56725E+11,2.06115E+11
The Kalevala Expanse,9.44783E+13,57627327289,1.00391E+14,58567619587,1.33425E+12,0,5.9131E+12,1.65612E+12,2.68058E+11,1.4062E+12,2.12823E+11
Wicked Creek,4.65558E+13,53718492401,4.6587E+13,51824115706,2.6086E+11,0,31200475058,1.37974E+12,5.35813E+11,6.94353E+11,2.13362E+11
Period Basis,2.66492E+13,16987809148,1.10697E+13,6867112230,2.34815E+11,1.55795E+13,0,1.87097E+12,1.92829E+11,8.91942E+11,2.39911E+11
Oasa,6.83219E+13,40954623114,7.3177E+13,42226405587,3.42924E+11,0,4.85512E+12,1.76276E+12,3.80378E+11,7.41866E+11,2.51589E+11
Feythabolis,2.07373E+13,14567434128,2.36599E+13,15015017153,4.24972E+11,0,2.92258E+12,2.82069E+12,2.72827E+11,4.529E+11,2.74654E+11
Fountain,3.13412E+13,37633693108,4.8894E+13,49694705478,4.71813E+11,0,1.75528E+13,1.04994E+12,5.94008E+11,5.20141E+11,3.31017E+11
Stain,7.97019E+13,52381159766,7.23729E+13,45828619974,5.09815E+11,7.32904E+12,0,2.26559E+11,4.05851E+11,6.18528E+11,3.6066E+11
Detorid,6.681E+13,1.19084E+11,7.0089E+13,1.09245E+11,3.51139E+11,0,3.27905E+12,1.11187E+12,8.22887E+11,5.97132E+11,3.71587E+11
Insmother,7.37308E+13,1.0121E+11,8.74979E+13,1.21173E+11,3.58948E+11,0,1.37671E+13,5.62538E+11,4.82036E+11,1.96822E+12,3.74112E+11
Solitude,2.28415E+13,20343779480,2.14944E+13,20350187869,1.18437E+11,1.34705E+12,0,35125833046,94276824949,1.54841E+11,3.81794E+11
Outer Passage,2.97393E+13,17944737572,3.30261E+13,19734334216,5.2251E+11,0,3.28678E+12,2.37113E+12,3.99291E+11,9.38541E+11,4.15218E+11
Syndicate,4.05965E+13,46671850994,3.82029E+13,44099795950,3.25871E+11,2.39362E+12,0,92366072829,6.06567E+11,6.45875E+11,4.44259E+11
Querious,2.33942E+14,2.88008E+11,2.49137E+14,2.79835E+11,2.85626E+12,0,1.51957E+13,2.66314E+12,5.24943E+11,2.60399E+12,5.00786E+11
Immensea,1.31076E+14,1.23916E+11,8.39374E+13,1.07804E+11,20298951478,4.71385E+13,0,3.92476E+11,5.70189E+11,2.19707E+11,5.37598E+11
Molden Heath,8.78194E+13,76568867274,8.59055E+13,74729230325,2.58903E+11,1.91387E+12,0,83331957267,1.6425E+11,3.94074E+11,6.72497E+11
Outer Ring,8.46479E+12,8598116034,1.32945E+13,8993646774,2.18359E+11,0,4.82975E+12,33244383698,84994775737,4.42669E+11,6.84854E+11
Impass,8.40059E+13,47801208725,1.01719E+14,46451576565,6.82758E+11,0,1.77132E+13,6.22815E+11,4.01699E+11,1.19221E+12,7.68719E+11
Black Rise,1.1966E+14,1.18196E+11,1.0847E+14,1.14082E+11,2.17323E+11,1.11903E+13,0,82053636693,1.54187E+12,9.59127E+11,7.98579E+11
Perrigen Falls,9.42725E+13,1.05164E+11,7.95625E+13,65936267520,4.02751E+11,1.471E+13,0,1.33395E+12,6.69663E+11,1.10571E+12,8.06863E+11
Devoid,1.93532E+14,1.71781E+11,1.7563E+14,1.6927E+11,2.36521E+11,1.79022E+13,0,53035122186,2.7288E+11,4.49187E+11,8.41121E+11
Aridia,7.96166E+13,52338709865,8.01476E+13,50555488065,1.36154E+11,0,5.3099E+11,54409017440,2.61203E+11,3.71433E+11,8.6053E+11
Khanid,2.68888E+14,1.83664E+11,2.52802E+14,1.80966E+11,3.75592E+11,1.60859E+13,0,58784666326,2.24358E+11,4.71356E+11,8.71708E+11
Malpais,8.22799E+13,52266156485,7.66248E+13,50832178016,1.18503E+12,5.65515E+12,0,2.02465E+12,4.63033E+11,3.16872E+12,9.84775E+11
Curse,1.94415E+14,1.53699E+11,1.56579E+14,1.44301E+11,53377033878,3.78362E+13,0,1.24702E+11,1.02283E+12,1.31209E+12,1.04054E+12
Kador,1.57698E+14,1.75544E+11,1.46037E+14,1.75583E+11,5.37966E+11,1.16611E+13,0,1.76326E+11,2.10969E+11,1.2914E+12,1.11776E+12
Cobalt Edge,3.26947E+13,19609493124,4.56413E+13,25465651079,1.28351E+12,0,1.29466E+13,2.48904E+12,5.28712E+11,3.01735E+12,1.18194E+12
Geminate,1.31471E+14,1.03263E+11,1.28463E+14,1.06473E+11,5.35833E+11,3.00785E+12,0,1.84553E+12,5.55248E+11,2.34729E+12,1.36866E+12
Derelik,2.71082E+14,2.11789E+11,2.47822E+14,2.08833E+11,3.59375E+11,2.32607E+13,0,88967870734,6.29684E+11,7.00914E+11,1.48552E+12
Kor-Azor,3.05473E+14,2.24265E+11,2.97089E+14,2.26288E+11,3.02116E+11,8.38343E+12,0,93552714118,2.96402E+11,8.63395E+11,1.53708E+12
Branch,2.24134E+13,24593041688,2.54634E+13,24219994753,7.22827E+11,0,3.05006E+12,3.08092E+12,5.3718E+11,2.50298E+12,1.84749E+12
Catch,2.29952E+14,1.67878E+11,2.36171E+14,1.70632E+11,4.33691E+11,0,6.21909E+12,7.72257E+11,1.56046E+12,1.13389E+12,1.95201E+12
Fade,4.42574E+13,57870494540,5.57984E+13,67289321108,1.82809E+11,0,1.1541E+13,1.04779E+12,6.2965E+11,5.90299E+11,1.98713E+12
Genesis,2.51011E+14,2.60728E+11,2.57264E+14,2.64265E+11,4.93806E+11,0,6.25277E+12,2.76102E+11,4.08999E+11,7.71414E+11,2.24851E+12
