regionName,exports,exportsm3,imports,importsm3,mining.value,net.exports,net.imports,npc.bounties,total.destroyed,total.production,trade.value
Tenal,5.13299E+11,900750742.6,1.0869E+12,472579125.3,1.37392E+11,0,5.73601E+11,1.99656E+12,2.48152E+11,2.66772E+11,16388357855
Omist,51818244508,101013777.9,41472874517,66389201.83,91353659558,10345369991,0,3.61801E+11,34684540033,1.40819E+11,41286264622
Scalding Pass,9.57803E+11,1343707396,8.65193E+12,1345005740,2.39948E+11,0,7.69413E+12,1.08794E+12,6.29189E+11,6.16526E+11,46154818968
Paragon Soul,3.99306E+11,665103500.9,2.58194E+12,650248419.8,5.07484E+11,0,2.18263E+12,7.83135E+11,2.4818E+11,5.74743E+11,50563327845
Cloud Ring,7.20959E+11,1305038963,8.36723E+11,1212685831,2.5491E+11,0,1.15763E+11,1.17464E+11,1.80227E+11,3.2102E+11,57977819481
Vale of the Silent,1.92831E+12,3953218651,1.63843E+12,3215409908,9.82043E+11,2.8988E+11,0,1.91332E+12,3.1662E+11,3.5519E+12,58646950249
Oasa,1.03159E+12,1387226169,1.07159E+12,1021805203,1.01299E+12,0,40001687476,2.26845E+12,3.0486E+11,1.70518E+12,83844032551
Feythabolis,3.43387E+11,196090500,4.58829E+11,290012456.7,7.53559E+11,0,1.15442E+11,1.51029E+12,2.28719E+11,8.41405E+11,84995143873
Etherium Reach,2.0008E+12,1209728222,1.98708E+12,1902415939,3.90355E+11,13722098126,0,2.31554E+11,6.02605E+11,2.109E+11,97359028996
Great Wildlands,9.54805E+12,1091608385,1.1141E+13,1012003101,2.26894E+11,0,1.593E+12,34050998099,2.12626E+11,3.48765E+11,1.09055E+11
The Spire,1.22226E+12,1253384667,1.92984E+12,1206921315,1.73024E+11,0,7.07578E+11,1.6434E+12,2.97966E+11,5.49279E+11,1.11962E+11
Outer Passage,8.25761E+11,865777534.1,8.96517E+11,1238679475,5.52631E+11,0,70756544904,1.93627E+12,2.58188E+11,7.15088E+11,1.20466E+11
The Bleak Lands,2.00785E+12,1135538597,1.92009E+12,1299174230,1.95994E+11,87763930984,0,16144063115,7.64951E+11,2.6232E+11,1.55187E+11
Venal,3.44483E+12,4100143693,3.75948E+12,7106876367,1.28922E+11,0,3.14647E+11,2.96352E+11,4.74823E+11,2.03474E+11,1.79303E+11
Wicked Creek,1.06871E+12,1762398080,1.8153E+12,1781205188,2.05115E+11,0,7.46589E+11,1.65435E+12,2.83112E+11,1.71847E+12,2.04308E+11
Stain,2.1394E+11,269813465.2,2.30006E+11,247098913.7,4.10635E+11,0,16065801019,1.26332E+11,6.27808E+11,5.08168E+11,2.04479E+11
Perrigen Falls,1.51042E+12,2366166574,1.70064E+12,2771910865,5.06423E+11,0,1.90223E+11,2.11509E+12,5.55605E+11,8.20664E+11,2.24573E+11
Pure Blind,8.10517E+11,1221834737,9.26883E+11,1569634071,2.27298E+11,0,1.16367E+11,5.75259E+11,5.30873E+11,1.03239E+12,2.39469E+11
Period Basis,1.39957E+11,173894797.9,7.25942E+11,259551021.1,2.20413E+11,0,5.85984E+11,2.1982E+12,3.45169E+11,6.95166E+11,2.46473E+11
Syndicate,2.22387E+12,1720639745,2.29353E+12,1549803710,3.54997E+11,0,69657607110,72904377841,1.20052E+12,8.93282E+11,3.12708E+11
