regionName,exports,exportsm3,imports,importsm3,mining.value,net.exports,net.imports,npc.bounties,total.destroyed,total.production,trade.value
Tenal,7.2721E+11,953068864.6,5.54947E+11,837506216,5.6629E+11,1.72264E+11,0,1.87119E+12,2.8132E+11,3.15494E+11,12443630367
Scalding Pass,1.40696E+12,1295545976,1.58409E+12,1436242132,3.39489E+11,0,1.77132E+11,8.81164E+11,1.90055E+11,4.77124E+11,16265062768
Paragon Soul,9.81913E+11,2452688946,7.42012E+11,2088733996,3.70961E+11,2.39901E+11,0,5.85514E+11,2.20639E+11,4.25099E+11,30692503383
The Kalevala Expanse,1.245E+12,709217129.7,2.20856E+12,2740003930,5.2147E+11,0,9.63565E+11,1.10209E+12,2.34425E+11,3.17316E+12,38917717701
Etherium Reach,1.79071E+12,1500719674,2.1006E+12,1655530705,3.93945E+11,0,3.09889E+11,1.98974E+11,3.29694E+11,2.12519E+11,46860623467
Omist,37362820492,50519033.18,95979992432,133422491.2,69498041117,0,58617171940,2.2794E+11,56211041710,83842441272,50441411708
Feythabolis,3.15512E+12,615206626,5.61914E+11,551916387.7,5.33424E+11,2.59321E+12,0,1.22973E+12,1.87068E+11,3.98373E+11,51469661579
Cache,8.64408E+11,368220594.5,4.83843E+11,259190873.3,96406447480,3.80564E+11,0,3.6536E+11,2.10904E+11,96480368360,54377898194
Oasa,1.42279E+12,528287679.9,8.56591E+11,555598651.5,8.41886E+11,5.66195E+11,0,1.9197E+12,2.52573E+11,1.57429E+12,54939785862
Vale of the Silent,4.43575E+12,6460845859,3.33754E+12,6289717908,5.356E+11,1.09822E+12,0,1.78357E+12,4.07099E+11,3.22793E+12,57205963051
The Spire,8.00692E+11,812842128.3,7.92253E+11,565369960.3,2.27183E+11,8438906198,0,1.44816E+12,3.04537E+11,5.0381E+11,82887900597
Outer Passage,5.32492E+11,219034983,5.84968E+11,318459793.8,4.21011E+11,0,52476165953,1.76581E+12,2.1958E+11,4.77191E+11,86989402833
Period Basis,3.12219E+11,495885549.2,9.32695E+11,1098645423,1.06517E+11,0,6.20476E+11,2.77313E+12,1.29815E+11,2.5355E+11,91379132633
Great Wildlands,3.86052E+12,1579866941,3.72786E+12,1504143562,2.95643E+11,1.3266E+11,0,39126420481,3.09468E+11,3.59736E+11,1.04544E+11
Venal,3.63709E+12,7308147620,1.1805E+13,6284118295,1.62034E+11,0,8.16792E+12,2.64233E+11,4.18387E+11,1.35858E+11,1.34519E+11
The Bleak Lands,2.02893E+12,1555818817,4.27575E+12,2372240328,1.40963E+11,0,2.24682E+12,14156137051,8.53281E+11,1.27588E+11,1.34768E+11
Perrigen Falls,1.60498E+12,1129657183,2.1858E+12,1203733103,5.18811E+11,0,5.80815E+11,1.66575E+12,3.83323E+11,5.61583E+11,1.38053E+11
Stain,1.19309E+12,874154479.5,6.23574E+11,750792004.5,5.87318E+11,5.69515E+11,0,1.15454E+11,4.20253E+11,3.47978E+11,1.44517E+11
Pure Blind,3.09218E+12,3596070449,3.34387E+12,3764500185,1.32902E+11,0,2.5169E+11,2.45329E+11,7.04699E+11,8.66366E+11,1.79255E+11
Wicked Creek,1.83296E+12,1845873902,2.66741E+12,1619499881,2.72798E+11,0,8.34446E+11,1.05006E+12,2.9921E+11,1.73702E+12,1.96694E+11
Curse,3.6591E+12,1858862077,1.60884E+12,1477633519,55580670213,2.05026E+12,0,54286391396,3.57033E+11,1.61307E+11,2.6669E+11
Syndicate,1.05157E+12,1036467204,1.20809E+12,1299746779,3.81798E+11,0,1.56515E+11,66663940053,5.48909E+11,7.60399E+11,2.973E+11
Querious,1.14287E+13,13761627399,1.25271E+13,14600854562,3.33265E+12,0,1.09838E+12,2.73052E+12,5.28781E+11,3.78698E+12,3.25071E+11
