Date,Aridia,Black Rise,Branch,Cache,Catch,Cloud Ring,Cobalt Edge,Curse,Deklein,Delve,Derelik,Detorid,Devoid,Domain,Esoteria,Essence,Etherium Reach,Everyshore,Fade,Feythabolis,Fountain,Geminate,Genesis,Great Wildlands,Heimatar,Immensea,Impass,Insmother,Kador,Khanid,Kor-Azor,Lonetrek,Malpais,Metropolis,Molden Heath,Oasa,Omist,Outer Passage,Outer Ring,Paragon Soul,Period Basis,Perrigen Falls,Placid,Providence,Pure Blind,Querious,Scalding Pass,Sinq Laison,Solitude,Stain,Syndicate,Tash-Murkon,Tenal,Tenerifis,The Bleak Lands,The Citadel,The Forge,The Kalevala Expanse,The Spire,Tribute,Vale of the Silent,Venal,Verge Vendor,Wicked Creek
2017 may,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1059350185.41,,,,,,,,,,,,,,,,,,,,,,,,,
2017 jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2140313920.9899998,,,,,,,,,,,,,,,,,,,,,,,,,
2017 jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805836119.44,,,,,,,,,,,,,,,,,,,,,,,,,
2017 aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037124772.43,,,,,,,,,,,,,,,,,,,,,,,,,
2017 sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3840965539.1799994,,,,,,,,,,,,,,,,,,,,,,,,,
2017 oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115607576.48,,,,,,,,,,,,,,,,,,,,,,,,,
2017 nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4689625228.7,,,,,,,,,,,,,,,,,,,,,,,,,
2017 dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3643283259.2499995,,,,,,,,,,,,,,,,,,,,,,,,,
2018 jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6786879301.57,,,,,,,,,,,,,,,,,,,,,,,,,
2018 feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1528443036.16,,,,,,,,,,,,,,,,,,,,,,,,,
2018 mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5164997479.639999,,,,,,,,,,,,,,,,,,,,,,,,,
2018 apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1944659827.24,,,,,,,,,,,,,,,,,,,,,,,,,
2018 may,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230116970.15,,,,,,,,,,,,,,,,,,,,,,,,,
2018 jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1067117329.3299998,,,,,,,,,,,,,,,,,,,,,,,,,
2018 jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115690716.14,,,,,,,,,,,,,,,,,,,,,,,,,
2018 aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2018 sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8954310805.720001,,,,,,,,,,,,,,,,,,,,,,,,,
2018 oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981844708.8899999,,,,,,,,,,,,,,,,,,,,,,,,,
2018 nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782454351.0899999,,,,,,,,,,,,,,,,,,,,,,,,,
2018 dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683051873.12,,,,,,,,,,,,,,,,,,,,,,,,,
2019 jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1162678611.1999998,,,,,,,,,,,,,,,,,,,,,,,,,
2019 feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241032902.85,,,,,,,,,,,,,,,,,,,,,,,,,
2019 mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625145415.29,,,,,,,,,,,,,,,,,,,,,,,,,
2019 apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580271130.73,,,,,,,,,,,,,,,,,,,,,,,,,
2019 may,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603423260.53,,,,,,,,,,,,,,,,,,,,,,,,,
2019 jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3664745903.28,,,,,,,,,,,,,,,,,,,,,,,,,
2019 jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270598475.26,,,,,,,,,,,,,,,,,,,,,,,,,
2019 aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3083623141.67,,,,,,,,,,,,,,,,,,,,,,,,,
2019 sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663700771.15,,,,,,,,,,,,,,,,,,,,,,,,,
2019 oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34044409.27,,,,,,,,,,,,,,,,,,,,,,,,,
2019 nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2019 dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020 jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,861597042,,,,,,,,,,,,,,,,,,,,,,,,,
