2017 jan,1960
2017 feb,3263
2017 mar,1705
2017 apr,1789
2017 may,1658
2017 jun,1568
2017 jul,1375
2017 aug,1579
2017 sep,1327
2017 oct,1812
2017 nov,1674
2017 dec,1812
2018 jan,2048
2018 feb,2154
2018 mar,3796
2018 apr,2191
2018 may,2068
2018 jun,1692
2018 jul,1574
2018 aug,1562
2018 sep,1901
2018 oct,1902
2018 nov,1563
2018 dec,1911
2019 jan,2023
2019 feb,3592
2019 mar,1989
2019 apr,2332
2019 may,2024
2019 jun,1647
2019 jul,1685
2019 aug,1584
2019 sep,1315
2019 oct,1488
2019 nov,1508
2019 dec,1367
2020 jan,1415
